INDICE  MAXIMO   AREA  COMPUESTO
1       -0.038   0     dodecano
4       -2.935   0     dodecano
3       -1.925   0     dodecano
5       -5.928   0     a-terpine
7       -5.375   0     a-terpine
10      0.000    0     ocineno
12      -0.953   0     ocineno    
13      -11.437  0     nerolidol
15      -14.144  0     nerolidol
16      -13.457  0     D-limonen
17      -12.142  0     D-limonen
18      -12.638  0     D-limonen
19      -8.749   0     ocineno
22      -6.271   0     ocineno
24      -1.334   0     dodecano
26      -9.512   0     dodecano
27      -8.235   0     dodecano
28      -2.106   0     dodecano
30      -1.601   0     dodecano
32      -5.738   0     ovipostur
33      -6.595   0     ovipostur
34      -4.651   0     ovipostur
35      -1.677   0     hexano     
36      -0.915   0     dodecano   
37      -22.493  0     dodecano   
