Compuesto    Concentracion  mV
a-Pineno     10             6.94
a-Pineno     10             7.11
a-Pineno     10             7.57
a-Pineno     10             6.26
a-Pineno     10             8.13
a-Pineno     10             9.21
a-Pineno     10             9.17
a-Pineno     10             9.8
a-Pineno     10             9.67
a-Pineno     10             10.55
a-Pineno     1000           7.57
a-Pineno     1000           8.2
a-Pineno     1000           9.21
a-Pineno     1000           9.006
a-Pineno     1000           9.8
a-Pineno     1000           9.92
a-Pineno     1000           10.87
a-Pineno     1000           11.21
a-Pineno     1000           11.35
a-Pineno     1000           11.14
D-limoneno   10             11.87
D-limoneno   10             12.06
D-limoneno   10             11.45
D-limoneno   10             11.55
D-limoneno   10             11.2
D-limoneno   10             11.39
D-limoneno   10             11.18
D-limoneno   10             11.3
D-limoneno   10             11.38
D-limoneno   10             11.8
D-limoneno   1000           13.26
D-limoneno   1000           12.19
D-limoneno   1000           12.37
D-limoneno   1000           12.58
D-limoneno   1000           12.16
D-limoneno   1000           11.93
D-limoneno   1000           12.48
D-limoneno   1000           11.93
D-limoneno   1000           12.16
D-limoneno   1000           12
Mirceno      10             9.18
Mirceno      10             7.94
Mirceno      10             7.98
Mirceno      10             8.33
Mirceno      10             8.006
Mirceno      10             8.02
Mirceno      10             8.73
Mirceno      10             8.29
Mirceno      10             8.67
Mirceno      10             9.11
Mirceno      1000           10.04
Mirceno      1000           10.1
Mirceno      1000           9.79
Mirceno      1000           9.91
Mirceno      1000           10.46
Mirceno      1000           10.82
Mirceno      1000           10.06
Mirceno      1000           9.96
Mirceno      1000           10.33
Mirceno      1000           10.5
Globulol     10             12.33
Globulol     10             12.16
Globulol     10             12.58
Globulol     10             12.8
Globulol     10             13.76
Globulol     10             11.79
Globulol     10             12.56
Globulol     10             12.63
Globulol     10             12.77
Globulol     10             13.49
Globulol     1000           12.54
Globulol     1000           12.73
Globulol     1000           12.52
Globulol     1000           13.07
Globulol     1000           12.82
Globulol     1000           13.07
Globulol     1000           12.92
Globulol     1000           12.67
Globulol     1000           12.75
Globulol     1000           13.13
Dodecano     10             8.15
Dodecano     10             8.04
Dodecano     10             7.92
Dodecano     10             7.91
Dodecano     10             7.79
Dodecano     10             7.7
Dodecano     10             7.72
Dodecano     10             8.04
Dodecano     10             7.54
Dodecano     10             7.68
Dodecano     1000           9.18
Dodecano     1000           9.03
Dodecano     1000           9.35
Dodecano     1000           8.94
Dodecano     1000           9.09
Dodecano     1000           9.3
Dodecano     1000           9.01
Dodecano     1000           9.34
Dodecano     1000           9.67
Dodecano     1000           9.24
Nerolidol    10             10.19
Nerolidol    10             10.84
Nerolidol    10             10.63
Nerolidol    10             9.74
Nerolidol    10             10.42
Nerolidol    10             10.57
Nerolidol    10             10.92
Nerolidol    10             10.63
Nerolidol    10             10.82
Nerolidol    10             10.8
Nerolidol    1000           9.7
Nerolidol    1000           10.75
Nerolidol    1000           11.45
Nerolidol    1000           11.62
Nerolidol    1000           11.64
Nerolidol    1000           10.71
Nerolidol    1000           11.49
Nerolidol    1000           11.43
Nerolidol    1000           11.57
Nerolidol    1000           11.64
a-Terpineno  10             4.02
a-Terpineno  10             4.38
a-Terpineno  10             4.78
a-Terpineno  10             3.95
a-Terpineno  10             4.7
a-Terpineno  10             5.37
a-Terpineno  10             4.07
a-Terpineno  10             4.86
a-Terpineno  10             3.79
a-Terpineno  10             4.13
a-Terpineno  1000           4.25
a-Terpineno  1000           4.72
a-Terpineno  1000           4.59
a-Terpineno  1000           4.89
a-Terpineno  1000           5.37
a-Terpineno  1000           5.29
a-Terpineno  1000           5.73
a-Terpineno  1000           5.79
a-Terpineno  1000           5.64
a-Terpineno  1000           5.8
Ocimeno      10             5.776
Ocimeno      10             6.04
Ocimeno      10             5.31
Ocimeno      10             5.69
Ocimeno      10             6.042
Ocimeno      10             5.73
Ocimeno      10             5.92
Ocimeno      10             6.08
Ocimeno      10             5.75
Ocimeno      10             6.18
Ocimeno      1000           6.91
Ocimeno      1000           6.9
Ocimeno      1000           7.72
Ocimeno      1000           8.1
Ocimeno      1000           8.19
Ocimeno      1000           7.92
Ocimeno      1000           8.23
Ocimeno      1000           7.83
Ocimeno      1000           8.25
Ocimeno      1000           7.75
