
     Compuesto Concentracion   Mean                Sd
1     a-Pineno            10  8.441  1.43622537692847
2     a-Pineno          1000 9.8276  1.32704008145111
3  a-Terpineno            10  4.405 0.504188016076895
4  a-Terpineno          1000  5.207  0.55978269593358
5   D-limoneno            10 11.518 0.298358471939005
6   D-limoneno          1000 12.306 0.401668741350105
7     Dodecano            10  7.849 0.193990263214993
8     Dodecano          1000  9.215 0.215367902281964
9     Globulol            10 12.687 0.582753044703424
10    Globulol          1000 12.822  0.21983832443159
11     Mirceno            10 8.4256 0.470505921559147
12     Mirceno          1000 10.197 0.320383450814108
13   Nerolidol            10 10.556 0.360838529600768
14   Nerolidol          1000   11.2 0.631805173908681
15     Ocimeno            10 5.8518 0.255322802219726
16     Ocimeno          1000   7.78 0.500199960015992
