Compuesto    Concentracion  mV
a-Pineno     10             11.66
a-Pineno     10             11.7
a-Pineno     10             12.27
a-Pineno     10             12.71
a-Pineno     10             12.6
a-Pineno     10             12.34
a-Pineno     10             12.65
a-Pineno     10             13.22
a-Pineno     10             12.79
a-Pineno     10             13.74
a-Pineno     1000           12.23
a-Pineno     1000           12.16
a-Pineno     1000           12.58
a-Pineno     1000           12.8
a-Pineno     1000           14.04
a-Pineno     1000           12.56
a-Pineno     1000           12.63
a-Pineno     1000           12.77
a-Pineno     1000           13.16
a-Pineno     1000           12.42
D-limoneno   10             3.99
D-limoneno   10             3.98
D-limoneno   10             4.11
D-limoneno   10             4.19
D-limoneno   10             4.13
D-limoneno   10             4.28
D-limoneno   10             4.21
D-limoneno   10             4.3
D-limoneno   10             4.3
D-limoneno   10             4.44
D-limoneno   1000           7.78
D-limoneno   1000           6.89
D-limoneno   1000           5.96
D-limoneno   1000           5.35
D-limoneno   1000           5
D-limoneno   1000           6.05
D-limoneno   1000           6.4
D-limoneno   1000           6.66
D-limoneno   1000           6.11
D-limoneno   1000           7.44
Mirceno      10             3.86
Mirceno      10             3.98
Mirceno      10             3.52
Mirceno      10             4.09
Mirceno      10             3.14
Mirceno      10             3.14
Mirceno      10             3.88
Mirceno      10             3.98
Mirceno      10             3.66
Mirceno      10             4.33
Mirceno      1000           7.22
Mirceno      1000           6.8
Mirceno      1000           6.29
Mirceno      1000           6.86
Mirceno      1000           6.38
Mirceno      1000           6.42
Mirceno      1000           5.41
Mirceno      1000           6.82
Mirceno      1000           6.42
Mirceno      1000           6.74
Globuleno    10             11.34
Globuleno    10             11.43
Globuleno    10             11.24
Globuleno    10             11.2
Globuleno    10             11.66
Globuleno    10             11.58
Globuleno    10             11.97
Globuleno    10             12.21
Globuleno    10             12.16
Globuleno    10             12.34
Globuleno    1000           13.13
Globuleno    1000           12.88
Globuleno    1000           13.22
Globuleno    1000           13.34
Globuleno    1000           12.6
Globuleno    1000           13.4
Globuleno    1000           13.57
Globuleno    1000           14.18
Globuleno    1000           14.2
Globuleno    1000           14.46
Dodecano     10             14.98
Dodecano     10             15.85
Dodecano     10             15.99
Dodecano     10             16.18
Dodecano     10             16.33
Dodecano     10             15.55
Dodecano     10             15.8
Dodecano     10             14.14
Dodecano     10             15.84
Dodecano     10             16.14
Dodecano     1000           18.1
Dodecano     1000           15.66
Dodecano     1000           17.47
Dodecano     1000           17.28
Dodecano     1000           16.94
Dodecano     1000           16.56
Dodecano     1000           15.95
Dodecano     1000           16.5
Dodecano     1000           16.85
Dodecano     1000           16.86
Nerolidol    10             5.55
Nerolidol    10             6.61
Nerolidol    10             6.57
Nerolidol    10             6.69
Nerolidol    10             6.67
Nerolidol    10             6.69
Nerolidol    10             6.8
Nerolidol    10             6.55
Nerolidol    10             7.07
Nerolidol    10             6.99
Nerolidol    1000           17.2
Nerolidol    1000           17.06
Nerolidol    1000           13.59
Nerolidol    1000           14.31
Nerolidol    1000           17.88
Nerolidol    1000           17.78
Nerolidol    1000           17.23
Nerolidol    1000           18.14
Nerolidol    1000           17.57
Nerolidol    1000           17.76
a-Terpineno  10             2.85
a-Terpineno  10             2.93
a-Terpineno  10             3.05
a-Terpineno  10             3.08
a-Terpineno  10             3.14
a-Terpineno  10             3.1
a-Terpineno  10             3.14
a-Terpineno  10             3.16
a-Terpineno  10             3.22
a-Terpineno  10             3.16
a-Terpineno  1000           2.49
a-Terpineno  1000           2.57
a-Terpineno  1000           2.68
a-Terpineno  1000           2.72
a-Terpineno  1000           2.64
a-Terpineno  1000           2.78
a-Terpineno  1000           2.85
a-Terpineno  1000           2.87
a-Terpineno  1000           2.8
a-Terpineno  1000           2.23
Ocimeno      10             6.29
Ocimeno      10             6.63
Ocimeno      10             6.65
Ocimeno      10             6.57
Ocimeno      10             6.46
Ocimeno      10             6.29
Ocimeno      10             6.44
Ocimeno      10             6.53
Ocimeno      10             6.78
Ocimeno      10             6.69
Ocimeno      1000           7.86
Ocimeno      1000           7.56
Ocimeno      1000           8.03
Ocimeno      1000           7.25
Ocimeno      1000           7.43
Ocimeno      1000           7.23
Ocimeno      1000           7.34
Ocimeno      1000           7.49
Ocimeno      1000           7.67
Ocimeno      1000           7.81
