     Compuesto Concentracion   Mean                Sd
1     a-Pineno            10 12.568 0.631977496083172
2     a-Pineno          1000 12.735 0.541566657434193
3  a-Terpineno            10  3.083 0.113631959510616
4  a-Terpineno          1000  2.663 0.194482218553094
5   D-limoneno            10  4.193 0.144994252759664
6   D-limoneno          1000  6.364 0.865604477293822
7     Dodecano            10  15.68 0.660605782596549
8     Dodecano          1000 16.817 0.711946471146377
9    Globuleno            10 11.713 0.425912093173123
10   Globuleno          1000 13.498 0.607742635587722
11     Mirceno            10  3.758 0.393186413238753
12     Mirceno          1000  6.536 0.488130219420096
13   Nerolidol            10  6.619 0.413184112849358
14   Nerolidol          1000 16.852  1.57503298025435
15     Ocimeno            10  6.533 0.164049450539227
16     Ocimeno          1000  7.567 0.270844358749941
